page_url,title,entity_label,entity_uri,entity_types,entity_count,entity_sentiment
https://news.google.com/rss/articles/CBMie0FVX3lxTE9MUU90UVVIRVRyN3VLMTdOUzFmNlRmUS1tal9xdGJyMm1IMjVYOGh5bnhha19zZXpjR0dnX0Z1a20yNWlfcUx0WG1kV0tvdjczdWZGQXlVaWo4dmFvWVNnWURQNVgxdFd5ZlE5SXA2M0M0bThFM2xTQzNjUQ?oc=5,Global X中國機械人及人工智能ETF〈2807.HK〉,exchange-traded fund,https://diffbot.com/entity/EmNsNDEQrOGmVlu7MvCH-cw,['http://dbpedia.org/ontology/Skill'],7,0.0
https://news.google.com/rss/articles/CBMiX0FVX3lxTE55UGJlblZ6QUdoUDQ3bGxpX3l6MUNMbmU2ZnlhVkZ5bHNGdnJmdFlsN2dIWVItYm5aWXFSdklpZ01MN1pXRVpOWUhBd1E5WnV4UHducjYwc0FqOFJrNVB30gFkQVVfeXFMT0J2cGk5SnRkTjVxOW1KYUw3QTk3eTFMclpubE0xNDd1cFlVdkJNdFVOS0JFMHpZQnk2emJLalAtNVJ6UGcyeXdOZ3U5YzF6V3dxd0ZtN0dITExMWjB2ZEJKaDByWA?oc=5,五角大樓與領先AI公司達協議 提升作戰能力,The Pentagon,https://diffbot.com/entity/EymOpoQUKMvSecoy9viqAXA,"['http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/ArchitecturalStructure', 'http://dbpedia.org/ontology/Building']",4,0.903
https://news.google.com/rss/articles/CBMid0FVX3lxTE5keXU2OE0tUXRqb1EtTVk1UlFWNk13M0REYkVCWDFlWDFvR0dBTXlQcERfdWFRWUx4VGhtSS02bXVuZzg3MGFwcXVXNVhVSmo1ejNZLVh6LVpmTVZncnJHeXo5UjNhSVgybllRaFM5YmIycnlkaThR?oc=5,港大醫學院研AI系統預警高風險禽流感病毒 助及早防範人類感染,HKUMed - The University of Hong Kong,https://diffbot.com/entity/EJyrnoNPzOoKcUzRKz0LgAQ,['http://dbpedia.org/ontology/Organisation'],3,0.0
https://news.google.com/rss/articles/CBMiT0FVX3lxTE4wbGJnQlR0ek15REF1cmtxSjhnd3YyZDBnSFFyVjRLUExoeXlnMXNGdUFRQ01mdllvbDN6OElyUWsxaGpWZTZfeU96NHFzMTA?oc=5,面試也交給AI？亞馬遜推新工具 搶攻企業軟體市場,Amazon,https://diffbot.com/entity/EU2HJUnMcNoWE3nR1cGBcZg,['http://dbpedia.org/ontology/Organisation'],6,0.853
https://news.google.com/rss/articles/CBMiWEFVX3lxTFBPYXVYNzlaZ245NzVlTTYybV9hOUJCY251bG04alNRa2lTb2hrWlhxZzVxU0I2X000azEtX29NRHlmNi16d29mUzlwQjFiQzRNdzFIOGxYZ08?oc=5,Apple iOS 26.5 五月中旬發佈 新功能包括 Maps 建議地點,Apple Inc.,https://diffbot.com/entity/EHb0_0NEcMwyY8b083taTTw,['http://dbpedia.org/ontology/Organisation'],7,0.904
https://news.google.com/rss/articles/CBMiWEFVX3lxTFBPYXVYNzlaZ245NzVlTTYybV9hOUJCY251bG04alNRa2lTb2hrWlhxZzVxU0I2X000azEtX29NRHlmNi16d29mUzlwQjFiQzRNdzFIOGxYZ08?oc=5,Apple iOS 26.5 五月中旬發佈 新功能包括 Maps 建議地點,Messages,https://diffbot.com/entity/EwzYoafNNOTSVRdiY1LmS2A,"['http://dbpedia.org/ontology/Skill', 'http://dbpedia.org/ontology/Work']",1,0.0
https://news.google.com/rss/articles/CBMiWEFVX3lxTFBPYXVYNzlaZ245NzVlTTYybV9hOUJCY251bG04alNRa2lTb2hrWlhxZzVxU0I2X000azEtX29NRHlmNi16d29mUzlwQjFiQzRNdzFIOGxYZ08?oc=5,Apple iOS 26.5 五月中旬發佈 新功能包括 Maps 建議地點,iOS,https://diffbot.com/entity/E8kmkUpj_Pk6irO16rlFa0Q,['http://dbpedia.org/ontology/Skill'],3,0.0
https://news.google.com/rss/articles/CBMiWEFVX3lxTFBPYXVYNzlaZ245NzVlTTYybV9hOUJCY251bG04alNRa2lTb2hrWlhxZzVxU0I2X000azEtX29NRHlmNi16d29mUzlwQjFiQzRNdzFIOGxYZ08?oc=5,Apple iOS 26.5 五月中旬發佈 新功能包括 Maps 建議地點,iPhone,https://diffbot.com/entity/EuqssOVF2O5O1Q2rpnJ4MIQ,"['http://dbpedia.org/ontology/Skill', 'http://dbpedia.org/ontology/Activity']",1,0.0
https://news.google.com/rss/articles/CBMiWEFVX3lxTFBPYXVYNzlaZ245NzVlTTYybV9hOUJCY251bG04alNRa2lTb2hrWlhxZzVxU0I2X000azEtX29NRHlmNi16d29mUzlwQjFiQzRNdzFIOGxYZ08?oc=5,Apple iOS 26.5 五月中旬發佈 新功能包括 Maps 建議地點,Apple Maps,https://diffbot.com/entity/EIY3hHWSnONukTxqrtH66yg,[],1,0.0
https://news.google.com/rss/articles/CBMiZEFVX3lxTE5LZ2pTTWMwWVBjNUVLWmxMcU5jc1R0VWgyTzdWMjltRFVvUHJQVWQ0X0hrdU5xcE9iZVdkNEFLdUUzOTczYWo4bE9NNDJ1RzJhV29OVDZkSFVhMzJCdkRyWjZJV24?oc=5,和碩拚AI浪潮轉型 童子賢打系統戰5張牌,Tzu-Hsien Tung,https://diffbot.com/entity/ERqd_bPSXNce3d_4YsRqhKg,['http://dbpedia.org/ontology/Person'],4,0.709
